tb_dir,event_path,policy,env,shift_level,run_name,src_return_last,src_return_mean,trg_return_last,trg_return_mean,norm_score_last,norm_score_mean
runs_friction_shift_sweep_seed1/IQL/hopper-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb,runs_friction_shift_sweep_seed1/IQL/hopper-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb/events.out.tfevents.1777905514.1e6066ef84d0,IQL,hopper-friction,0.5,r1,1852.37,1801.85,911.7,938.34,28.77,29.59
runs_friction_shift_sweep_seed1/MOBODY/hopper-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb,runs_friction_shift_sweep_seed1/MOBODY/hopper-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb/events.out.tfevents.1777918203.1e6066ef84d0,MOBODY,hopper-friction,0.5,r1,1469.99,1699.64,922.24,900.93,29.09,28.44
runs_friction_shift_sweep_seed1/DARA/hopper-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb,runs_friction_shift_sweep_seed1/DARA/hopper-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb/events.out.tfevents.1778148405.1e6066ef84d0,DARA,hopper-friction,2.0,r1,1512.14,1450.28,305.02,305.16,10.16,10.17
runs_friction_shift_sweep_seed1/IQL/hopper-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb,runs_friction_shift_sweep_seed1/IQL/hopper-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb/events.out.tfevents.1778143598.1e6066ef84d0,IQL,hopper-friction,2.0,r1,1955.98,1756.37,301.7,301.2,10.06,10.05
runs_friction_shift_sweep_seed1/MOBODY/hopper-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb,runs_friction_shift_sweep_seed1/MOBODY/hopper-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb/events.out.tfevents.1778155388.1e6066ef84d0,MOBODY,hopper-friction,2.0,r1,1196.91,1230.7,307.6,305.05,10.24,10.16
runs_friction_shift_sweep_seed1/DARA/hopper-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb,runs_friction_shift_sweep_seed1/DARA/hopper-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb/events.out.tfevents.1778214184.1e6066ef84d0,DARA,hopper-friction,5.0,r1,1636.42,1652.62,233.38,232.42,7.97,7.94
runs_friction_shift_sweep_seed1/IQL/hopper-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb,runs_friction_shift_sweep_seed1/IQL/hopper-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb/events.out.tfevents.1778209201.1e6066ef84d0,IQL,hopper-friction,5.0,r1,2315.82,2132.15,231.68,231.36,7.91,7.9
runs_friction_shift_sweep_seed1/MOBODY/hopper-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb,runs_friction_shift_sweep_seed1/MOBODY/hopper-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb/events.out.tfevents.1778221320.1e6066ef84d0,MOBODY,hopper-friction,5.0,r1,948.78,1115.81,242.12,241.54,8.23,8.22
runs_friction_shift_sweep_seed1/DARA/walker2d-friction-srcdatatype-medium-tardatatype-medium-0.1/r1/tb,runs_friction_shift_sweep_seed1/DARA/walker2d-friction-srcdatatype-medium-tardatatype-medium-0.1/r1/tb/events.out.tfevents.1777817953.1e6066ef84d0,DARA,walker2d-friction,0.1,r1,3552.02,3456.15,198.36,198.43,5.62,5.62
runs_friction_shift_sweep_seed1/IQL/walker2d-friction-srcdatatype-medium-tardatatype-medium-0.1/r1/tb,runs_friction_shift_sweep_seed1/IQL/walker2d-friction-srcdatatype-medium-tardatatype-medium-0.1/r1/tb/events.out.tfevents.1777812403.1e6066ef84d0,IQL,walker2d-friction,0.1,r1,2412.45,2690.27,216.31,215.22,6.16,6.12
runs_friction_shift_sweep_seed1/MOBODY/walker2d-friction-srcdatatype-medium-tardatatype-medium-0.1/r1/tb,runs_friction_shift_sweep_seed1/MOBODY/walker2d-friction-srcdatatype-medium-tardatatype-medium-0.1/r1/tb/events.out.tfevents.1777825470.1e6066ef84d0,MOBODY,walker2d-friction,0.1,r1,592.58,714.18,338.05,478.85,9.79,13.99
runs_friction_shift_sweep_seed1/DARA/walker2d-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb,runs_friction_shift_sweep_seed1/DARA/walker2d-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb/events.out.tfevents.1777885837.1e6066ef84d0,DARA,walker2d-friction,0.5,r1,3590.89,3177.23,2730.04,2874.47,64.47,67.89
runs_friction_shift_sweep_seed1/IQL/walker2d-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb,runs_friction_shift_sweep_seed1/IQL/walker2d-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb/events.out.tfevents.1777879193.1e6066ef84d0,IQL,walker2d-friction,0.5,r1,2767.55,2854.74,2994.71,2880.55,70.74,68.03
runs_friction_shift_sweep_seed1/MOBODY/walker2d-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb,runs_friction_shift_sweep_seed1/MOBODY/walker2d-friction-srcdatatype-medium-tardatatype-medium-0.5/r1/tb/events.out.tfevents.1777894681.1e6066ef84d0,MOBODY,walker2d-friction,0.5,r1,3018.88,3181.31,2998.24,3013.46,70.82,71.18
runs_friction_shift_sweep_seed1/DARA/walker2d-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb,runs_friction_shift_sweep_seed1/DARA/walker2d-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb/events.out.tfevents.1778122895.1e6066ef84d0,DARA,walker2d-friction,2.0,r1,2942.55,3004.74,3093.15,3294.72,59.63,63.53
runs_friction_shift_sweep_seed1/IQL/walker2d-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb,runs_friction_shift_sweep_seed1/IQL/walker2d-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb/events.out.tfevents.1778116185.1e6066ef84d0,IQL,walker2d-friction,2.0,r1,2794.5,2984.7,1975.99,1957.72,38.03,37.67
runs_friction_shift_sweep_seed1/MOBODY/walker2d-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb,runs_friction_shift_sweep_seed1/MOBODY/walker2d-friction-srcdatatype-medium-tardatatype-medium-2.0/r1/tb/events.out.tfevents.1778043684.1e6066ef84d0,MOBODY,walker2d-friction,2.0,r1,3218.01,3045.55,2878.52,2983.71,55.48,57.52
runs_friction_shift_sweep_seed1/DARA/walker2d-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb,runs_friction_shift_sweep_seed1/DARA/walker2d-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb/events.out.tfevents.1778190392.1e6066ef84d0,DARA,walker2d-friction,5.0,r1,3202.21,2813.17,260.16,258.66,5.02,4.99
runs_friction_shift_sweep_seed1/IQL/walker2d-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb,runs_friction_shift_sweep_seed1/IQL/walker2d-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb/events.out.tfevents.1778184925.1e6066ef84d0,IQL,walker2d-friction,5.0,r1,2266.24,2375.82,285.49,284.51,5.53,5.51
runs_friction_shift_sweep_seed1/MOBODY/walker2d-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb,runs_friction_shift_sweep_seed1/MOBODY/walker2d-friction-srcdatatype-medium-tardatatype-medium-5.0/r1/tb/events.out.tfevents.1778198049.1e6066ef84d0,MOBODY,walker2d-friction,5.0,r1,2647.74,2999.17,1111.3,964.26,22.12,19.17
